host,url,status,size
winer-ibm.cit.buffalo.edu,/images/spaceport-logo.gif,404,0
147.74.41.186,/shuttle/missions/sts-68/ksc-upclose.gif,404,0
pike.cse.bris.ac.uk,/history/apollo/sa-1/sa-1-patch-small.gif,404,0
128.217.63.38,/ksc.html0.,404,0
128.217.63.38,/ksc.html0.,404,0
163.205.16.75,/SDG/Experimental/demoweb/return.gif,404,0
ariel.mit.edu,/shuttle/missioins/sts-70/movies/,404,0
lgbppp8.uni-c.dk,/elv/DELTA/uncons.htm,404,0
lgbppp8.uni-c.dk,/elv/DELTA/uncons.htm,404,0
138.49.251.34,/shuttle/missions-sts-49.html,404,0
ariel.mit.edu,/shuttle/missioins/sts-70/movies/,404,0
198.213.130.253,/ksclogo.gif,404,0
198.213.130.253,/.ksc.nasa.gov/images/ksclogo.gif,404,0
198.213.130.253,/ksclogo-medium.gif,404,0
198.213.130.253,/ksc.nasa.gov/images/ksclogo-medium.gif,404,0
ink.ink.org,/people/nasa-cm/jmd.html,404,0
dialup12.leuven.eunet.be,/shuttle/missions/sts-69/images/KSC-95EC-1014.gif,404,0
dialup12.leuven.eunet.be,/shuttle/missions/sts-69/images/KSC-95EC-0768.gif,404,0
dialup12.leuven.eunet.be,/shuttle/missions/sts-69/images/KSC-95EC-0852.gif,404,0
dialup12.leuven.eunet.be,/shuttle/missions/sts-69/images/KSC-95EC-0585.gif,404,0
derec,/shuttle/missions/STS-69/images/index69.gif,404,0
derec,/shuttle/missions/STS-69/images/index69.gif,404,0
derec,/shuttle/missions/STS-69/images/index69.gif,404,0
derec,/shuttle/missions/STS-69/images/index69.gif,404,0
usr8-dialup14.atlanta.mci.net,/://spacelink.msfc.nasa.gov,404,0
192.225.75.179,/payloads/systems.html,404,0
gateway.amoco.com,/pub/winvn/readme.txt,404,0
gateway.amoco.com,/pub/winvn/release.txt,404,0
brogers.sso.az.honeywell.com,/shuttle/missions/sts-68/ksc-upclose.gif,404,0
mailhost.magus.co.uk,/robots.txt,404,0
usr8-dialup14.atlanta.mci.net,/://spacelink.msfc.nasa.gov,404,0
167.114.251.6,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,404,0
derec,/shuttle/missions/sts-71/count.gif,404,0
derec,/shuttle/missions/sts-71/count71.gif,404,0
mac48.dfp.upenn.edu,/history/apollo/sa-5/sa-5-patch-small.gif,404,0
mac48.dfp.upenn.edu,/history/apollo/sa-5/movies/,404,0
mac48.dfp.upenn.edu,/history/apollo/sa-5/sounds/,404,0
mac48.dfp.upenn.edu,/history/apollo/sa-5/sa-5-patch-small.gif,404,0
198.213.130.253,/shuttle/resources/orbiters/discovery.gif,404,0
hathor.telos.com,/APOLLO-13,404,0
hathor.telos.com,/APOLLO-13.HTML,404,0
hathor.telos.com,/HISTORY,404,0
hathor.telos.com,/HISTORY/APOLLO/APOLLO-13/APOLLO-13.HTML,404,0
mailhost.magus.co.uk,/robots.txt,404,0
